2023-10-30 14:02:01,039 INFO    MainThread:19041 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-30 14:02:01,040 INFO    MainThread:19041 [wandb_setup.py:_flush():76] Configure stats pid to 19041
2023-10-30 14:02:01,040 INFO    MainThread:19041 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/.config/wandb/settings
2023-10-30 14:02:01,040 INFO    MainThread:19041 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/settings
2023-10-30 14:02:01,040 INFO    MainThread:19041 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'nookaz', 'project': 'weights-biases', 'sweep_id': 'nub5q5xp', 'root_dir': '/Users/noorainkazmi/Documents/GitHub/weights-biases', 'run_id': 'lipiyaer', 'sweep_param_path': '/Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/sweep-nub5q5xp/config-lipiyaer.yaml'}
2023-10-30 14:02:01,040 INFO    MainThread:19041 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-30 14:02:01,040 INFO    MainThread:19041 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'iris--model--sweep.py', 'program_abspath': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py', 'program': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py'}
2023-10-30 14:02:01,040 INFO    MainThread:19041 [wandb_init.py:_log_setup():528] Logging user logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_140201-lipiyaer/logs/debug.log
2023-10-30 14:02:01,041 INFO    MainThread:19041 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_140201-lipiyaer/logs/debug-internal.log
2023-10-30 14:02:01,041 INFO    MainThread:19041 [wandb_init.py:init():568] calling init triggers
2023-10-30 14:02:01,041 INFO    MainThread:19041 [wandb_init.py:init():575] wandb.init called with sweep_config: {'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 6, 'test_size': 0.22292546629460191}
config: {}
2023-10-30 14:02:01,041 INFO    MainThread:19041 [wandb_init.py:init():618] starting backend
2023-10-30 14:02:01,041 INFO    MainThread:19041 [wandb_init.py:init():622] setting up manager
2023-10-30 14:02:01,051 INFO    MainThread:19041 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-30 14:02:01,053 INFO    MainThread:19041 [wandb_init.py:init():628] backend started and connected
2023-10-30 14:02:01,067 INFO    MainThread:19041 [wandb_run.py:_config_callback():1324] config_cb None None {'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 6, 'test_size': 0.22292546629460191}
2023-10-30 14:02:01,068 INFO    MainThread:19041 [wandb_init.py:init():720] updated telemetry
2023-10-30 14:02:01,080 INFO    MainThread:19041 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-30 14:02:01,530 INFO    MainThread:19041 [wandb_run.py:_on_init():2220] communicating current version
2023-10-30 14:02:01,699 INFO    MainThread:19041 [wandb_run.py:_on_init():2229] got version response 
2023-10-30 14:02:01,699 INFO    MainThread:19041 [wandb_init.py:init():804] starting run threads in backend
2023-10-30 14:02:01,758 INFO    MainThread:19041 [wandb_run.py:_console_start():2199] atexit reg
2023-10-30 14:02:01,759 INFO    MainThread:19041 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-30 14:02:01,759 INFO    MainThread:19041 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-30 14:02:01,759 INFO    MainThread:19041 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-30 14:02:01,759 INFO    MainThread:19041 [wandb_init.py:init():845] run started, returning control to user process
2023-10-30 14:02:01,763 INFO    MainThread:19041 [wandb_run.py:_finish():1934] finishing run nookaz/weights-biases/lipiyaer
2023-10-30 14:02:01,763 INFO    MainThread:19041 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-30 14:02:01,763 INFO    MainThread:19041 [wandb_run.py:_restore():2151] restore
2023-10-30 14:02:01,763 INFO    MainThread:19041 [wandb_run.py:_restore():2157] restore done
2023-10-30 14:02:06,562 INFO    MainThread:19041 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-30 14:02:06,562 INFO    MainThread:19041 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-30 14:02:06,568 INFO    MainThread:19041 [wandb_run.py:_footer_sync_info():3558] logging synced files
