2023-10-30 14:27:56,151 INFO    MainThread:22940 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-30 14:27:56,152 INFO    MainThread:22940 [wandb_setup.py:_flush():76] Configure stats pid to 22940
2023-10-30 14:27:56,152 INFO    MainThread:22940 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/.config/wandb/settings
2023-10-30 14:27:56,152 INFO    MainThread:22940 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/settings
2023-10-30 14:27:56,152 INFO    MainThread:22940 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'nookaz', 'project': 'weights-biases', 'sweep_id': 'oho259ws', 'root_dir': '/Users/noorainkazmi/Documents/GitHub/weights-biases', 'run_id': 'sb5jp0sy', 'sweep_param_path': '/Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/sweep-oho259ws/config-sb5jp0sy.yaml'}
2023-10-30 14:27:56,152 INFO    MainThread:22940 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-30 14:27:56,152 INFO    MainThread:22940 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'iris--model--sweep.py', 'program_abspath': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py', 'program': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py'}
2023-10-30 14:27:56,152 INFO    MainThread:22940 [wandb_init.py:_log_setup():528] Logging user logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_142756-sb5jp0sy/logs/debug.log
2023-10-30 14:27:56,153 INFO    MainThread:22940 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_142756-sb5jp0sy/logs/debug-internal.log
2023-10-30 14:27:56,153 INFO    MainThread:22940 [wandb_init.py:init():568] calling init triggers
2023-10-30 14:27:56,153 INFO    MainThread:22940 [wandb_init.py:init():575] wandb.init called with sweep_config: {'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 7, 'test_size': 0.4257663035779473}
config: {}
2023-10-30 14:27:56,153 INFO    MainThread:22940 [wandb_init.py:init():618] starting backend
2023-10-30 14:27:56,153 INFO    MainThread:22940 [wandb_init.py:init():622] setting up manager
2023-10-30 14:27:56,164 INFO    MainThread:22940 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-30 14:27:56,165 INFO    MainThread:22940 [wandb_init.py:init():628] backend started and connected
2023-10-30 14:27:56,178 INFO    MainThread:22940 [wandb_run.py:_config_callback():1324] config_cb None None {'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 7, 'test_size': 0.4257663035779473}
2023-10-30 14:27:56,179 INFO    MainThread:22940 [wandb_init.py:init():720] updated telemetry
2023-10-30 14:27:56,192 INFO    MainThread:22940 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-30 14:27:56,649 INFO    MainThread:22940 [wandb_run.py:_on_init():2220] communicating current version
2023-10-30 14:27:56,754 INFO    MainThread:22940 [wandb_run.py:_on_init():2229] got version response 
2023-10-30 14:27:56,755 INFO    MainThread:22940 [wandb_init.py:init():804] starting run threads in backend
2023-10-30 14:27:56,796 INFO    MainThread:22940 [wandb_run.py:_console_start():2199] atexit reg
2023-10-30 14:27:56,796 INFO    MainThread:22940 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-30 14:27:56,796 INFO    MainThread:22940 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-30 14:27:56,796 INFO    MainThread:22940 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-30 14:27:56,797 INFO    MainThread:22940 [wandb_init.py:init():845] run started, returning control to user process
2023-10-30 14:27:56,800 INFO    MainThread:22940 [wandb_run.py:_finish():1934] finishing run nookaz/weights-biases/sb5jp0sy
2023-10-30 14:27:56,800 INFO    MainThread:22940 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-30 14:27:56,800 INFO    MainThread:22940 [wandb_run.py:_restore():2151] restore
2023-10-30 14:27:56,800 INFO    MainThread:22940 [wandb_run.py:_restore():2157] restore done
2023-10-30 14:28:01,759 INFO    MainThread:22940 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-30 14:28:01,759 INFO    MainThread:22940 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-30 14:28:01,766 INFO    MainThread:22940 [wandb_run.py:_footer_sync_info():3558] logging synced files
