2023-10-30 14:39:36,516 INFO    MainThread:24575 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-30 14:39:36,517 INFO    MainThread:24575 [wandb_setup.py:_flush():76] Configure stats pid to 24575
2023-10-30 14:39:36,517 INFO    MainThread:24575 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/.config/wandb/settings
2023-10-30 14:39:36,517 INFO    MainThread:24575 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/settings
2023-10-30 14:39:36,517 INFO    MainThread:24575 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'nookaz', 'project': 'weights-biases', 'sweep_id': '6lsnfvvo', 'root_dir': '/Users/noorainkazmi/Documents/GitHub/weights-biases', 'run_id': '8px7ehr8', 'sweep_param_path': '/Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/sweep-6lsnfvvo/config-8px7ehr8.yaml'}
2023-10-30 14:39:36,517 INFO    MainThread:24575 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-30 14:39:36,517 INFO    MainThread:24575 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'iris--model--sweep.py', 'program_abspath': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py', 'program': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py'}
2023-10-30 14:39:36,518 INFO    MainThread:24575 [wandb_init.py:_log_setup():528] Logging user logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_143936-8px7ehr8/logs/debug.log
2023-10-30 14:39:36,518 INFO    MainThread:24575 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_143936-8px7ehr8/logs/debug-internal.log
2023-10-30 14:39:36,518 INFO    MainThread:24575 [wandb_init.py:init():568] calling init triggers
2023-10-30 14:39:36,518 INFO    MainThread:24575 [wandb_init.py:init():575] wandb.init called with sweep_config: {'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 7, 'test_size': 0.10417988216251656}
config: {}
2023-10-30 14:39:36,518 INFO    MainThread:24575 [wandb_init.py:init():618] starting backend
2023-10-30 14:39:36,518 INFO    MainThread:24575 [wandb_init.py:init():622] setting up manager
2023-10-30 14:39:36,529 INFO    MainThread:24575 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-30 14:39:36,531 INFO    MainThread:24575 [wandb_init.py:init():628] backend started and connected
2023-10-30 14:39:36,543 INFO    MainThread:24575 [wandb_run.py:_config_callback():1324] config_cb None None {'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 7, 'test_size': 0.10417988216251656}
2023-10-30 14:39:36,544 INFO    MainThread:24575 [wandb_init.py:init():720] updated telemetry
2023-10-30 14:39:36,558 INFO    MainThread:24575 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-30 14:39:37,086 INFO    MainThread:24575 [wandb_run.py:_on_init():2220] communicating current version
2023-10-30 14:39:37,188 INFO    MainThread:24575 [wandb_run.py:_on_init():2229] got version response 
2023-10-30 14:39:37,188 INFO    MainThread:24575 [wandb_init.py:init():804] starting run threads in backend
2023-10-30 14:39:37,236 INFO    MainThread:24575 [wandb_run.py:_console_start():2199] atexit reg
2023-10-30 14:39:37,237 INFO    MainThread:24575 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-30 14:39:37,237 INFO    MainThread:24575 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-30 14:39:37,237 INFO    MainThread:24575 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-30 14:39:37,237 INFO    MainThread:24575 [wandb_init.py:init():845] run started, returning control to user process
2023-10-30 14:39:42,282 WARNING MsgRouterThr:24575 [router.py:message_loop():77] message_loop has been closed
