2023-10-30 14:43:55,973 INFO    MainThread:24683 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-30 14:43:55,974 INFO    MainThread:24683 [wandb_setup.py:_flush():76] Configure stats pid to 24683
2023-10-30 14:43:55,974 INFO    MainThread:24683 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/.config/wandb/settings
2023-10-30 14:43:55,974 INFO    MainThread:24683 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/settings
2023-10-30 14:43:55,974 WARNING MainThread:24683 [wandb_setup.py:_flush():76] Unknown environment variable: WANDB_SERVICE
2023-10-30 14:43:55,974 INFO    MainThread:24683 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'nookaz', 'project': 'weights-biases', 'sweep_id': '6lsnfvvo', 'root_dir': '/Users/noorainkazmi/Documents/GitHub/weights-biases', 'run_id': '327f5koy', 'sweep_param_path': '/Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/sweep-6lsnfvvo/config-327f5koy.yaml'}
2023-10-30 14:43:55,980 INFO    MainThread:24683 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-30 14:43:55,980 INFO    MainThread:24683 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'iris--model--sweep.py', 'program_abspath': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py', 'program': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py'}
2023-10-30 14:43:55,980 INFO    MainThread:24683 [wandb_init.py:_log_setup():528] Logging user logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_144355-327f5koy/logs/debug.log
2023-10-30 14:43:55,980 INFO    MainThread:24683 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_144355-327f5koy/logs/debug-internal.log
2023-10-30 14:43:55,980 INFO    MainThread:24683 [wandb_init.py:init():568] calling init triggers
2023-10-30 14:43:55,980 INFO    MainThread:24683 [wandb_init.py:init():575] wandb.init called with sweep_config: {'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 5, 'test_size': 0.39617471917208114}
config: {}
2023-10-30 14:43:55,980 INFO    MainThread:24683 [wandb_init.py:init():618] starting backend
2023-10-30 14:43:55,980 INFO    MainThread:24683 [wandb_init.py:init():622] setting up manager
2023-10-30 14:43:55,985 INFO    MainThread:24683 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-30 14:43:55,986 INFO    MainThread:24683 [wandb_init.py:init():628] backend started and connected
2023-10-30 14:43:55,993 INFO    MainThread:24683 [wandb_run.py:_config_callback():1324] config_cb None None {'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 5, 'test_size': 0.39617471917208114}
2023-10-30 14:43:55,994 INFO    MainThread:24683 [wandb_init.py:init():720] updated telemetry
2023-10-30 14:43:56,004 INFO    MainThread:24683 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-30 14:43:56,422 INFO    MainThread:24683 [wandb_run.py:_on_init():2220] communicating current version
2023-10-30 14:43:56,533 INFO    MainThread:24683 [wandb_run.py:_on_init():2229] got version response 
2023-10-30 14:43:56,533 INFO    MainThread:24683 [wandb_init.py:init():804] starting run threads in backend
2023-10-30 14:43:56,583 INFO    MainThread:24683 [wandb_run.py:_console_start():2199] atexit reg
2023-10-30 14:43:56,584 INFO    MainThread:24683 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-30 14:43:56,584 INFO    MainThread:24683 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-30 14:43:56,584 INFO    MainThread:24683 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-30 14:43:56,584 INFO    MainThread:24683 [wandb_init.py:init():845] run started, returning control to user process
