2023-10-30 14:52:40,556 INFO    MainThread:25665 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-30 14:52:40,557 INFO    MainThread:25665 [wandb_setup.py:_flush():76] Configure stats pid to 25665
2023-10-30 14:52:40,557 INFO    MainThread:25665 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/.config/wandb/settings
2023-10-30 14:52:40,557 INFO    MainThread:25665 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/settings
2023-10-30 14:52:40,557 INFO    MainThread:25665 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'nookaz', 'project': 'weights-biases', 'sweep_id': 'q2mbmd69', 'root_dir': '/Users/noorainkazmi/Documents/GitHub/weights-biases', 'run_id': 'x2nrs17p', 'sweep_param_path': '/Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/sweep-q2mbmd69/config-x2nrs17p.yaml'}
2023-10-30 14:52:40,557 INFO    MainThread:25665 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-30 14:52:40,557 INFO    MainThread:25665 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'iris--model--sweep.py', 'program_abspath': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py', 'program': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py'}
2023-10-30 14:52:40,557 INFO    MainThread:25665 [wandb_init.py:_log_setup():528] Logging user logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_145240-x2nrs17p/logs/debug.log
2023-10-30 14:52:40,558 INFO    MainThread:25665 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_145240-x2nrs17p/logs/debug-internal.log
2023-10-30 14:52:40,558 INFO    MainThread:25665 [wandb_init.py:init():568] calling init triggers
2023-10-30 14:52:40,558 INFO    MainThread:25665 [wandb_init.py:init():575] wandb.init called with sweep_config: {'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 8, 'test_size': 0.35085896668239547}
config: {}
2023-10-30 14:52:40,558 INFO    MainThread:25665 [wandb_init.py:init():618] starting backend
2023-10-30 14:52:40,558 INFO    MainThread:25665 [wandb_init.py:init():622] setting up manager
2023-10-30 14:52:40,568 INFO    MainThread:25665 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-30 14:52:40,569 INFO    MainThread:25665 [wandb_init.py:init():628] backend started and connected
2023-10-30 14:52:40,582 INFO    MainThread:25665 [wandb_run.py:_config_callback():1324] config_cb None None {'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 8, 'test_size': 0.35085896668239547}
2023-10-30 14:52:40,583 INFO    MainThread:25665 [wandb_init.py:init():720] updated telemetry
2023-10-30 14:52:40,596 INFO    MainThread:25665 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-30 14:52:41,125 INFO    MainThread:25665 [wandb_run.py:_on_init():2220] communicating current version
2023-10-30 14:52:41,229 INFO    MainThread:25665 [wandb_run.py:_on_init():2229] got version response 
2023-10-30 14:52:41,230 INFO    MainThread:25665 [wandb_init.py:init():804] starting run threads in backend
2023-10-30 14:52:41,269 INFO    MainThread:25665 [wandb_run.py:_console_start():2199] atexit reg
2023-10-30 14:52:41,270 INFO    MainThread:25665 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-30 14:52:41,270 INFO    MainThread:25665 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-30 14:52:41,270 INFO    MainThread:25665 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-30 14:52:41,270 INFO    MainThread:25665 [wandb_init.py:init():845] run started, returning control to user process
2023-10-30 14:52:41,273 INFO    MainThread:25665 [wandb_run.py:_finish():1934] finishing run nookaz/weights-biases/x2nrs17p
2023-10-30 14:52:41,273 INFO    MainThread:25665 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-30 14:52:41,273 INFO    MainThread:25665 [wandb_run.py:_restore():2151] restore
2023-10-30 14:52:41,273 INFO    MainThread:25665 [wandb_run.py:_restore():2157] restore done
2023-10-30 14:52:46,206 INFO    MainThread:25665 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-30 14:52:46,206 INFO    MainThread:25665 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-30 14:52:46,214 INFO    MainThread:25665 [wandb_run.py:_footer_sync_info():3558] logging synced files
